Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020
1,   Burundi,,108,B R,WORLD,900, 333 110, 254 853, 125 628, 192 774, 247 321, 298 299, 344 767
2,   Burundi,,108,B R,  Sub-Saharan Africa,947, 272 528, 213 186, 111 209, 175 242, 226 957, 270 062, 311 754
3,   Burundi,,108,B R,  Northern Africa and Western Asia,1833,..,..,..,..,..,..,..
4,   Burundi,,108,B R,  Central and Southern Asia,921,..,..,..,..,..,..,..
5,   Burundi,,108,B R,  Eastern and South-Eastern Asia,1832,..,..,..,..,..,..,..
6,   Burundi,,108,B R,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
7,   Burundi,,108,B R,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
8,   Burundi,,108,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
9,   Burundi,,108,B R,  Europe and Northern America,1829,963,931,712,698,745,907, 1 076
10,   Burundi,,108,B R,  Developed regions,901,963,931,712,698,745,907, 1 076
11,   Burundi,,108,B R,  Less developed regions,902, 272 528, 213 186, 111 209, 175 242, 226 957, 270 062, 311 754
12,   Burundi,,108,B R," Less developed regions, excluding least developed countries",934,186,216,202,502,847, 1 032, 1 226
13,   Burundi,,108,B R," Less developed regions, excluding China",948, 272 528, 213 186, 111 209, 175 242, 226 957, 270 062, 311 754
14,   Burundi,,108,B R,  Least developed countries,941, 272 342, 212 970, 111 007, 174 740, 226 110, 269 030, 310 528
15,   Burundi,,108,B R,  Land-locked Developing Countries (LLDC),1636, 223 776, 161 743, 67 364, 61 909, 55 525, 65 254, 77 625
16,   Burundi,,108,B R,  Small island developing States (SIDS),1637,..,..,..,..,..,..,..
17,   Burundi,,108,B R,  High-income countries,1503,963,931,712,698,745,907, 1 076
18,   Burundi,,108,B R,  Middle-income countries,1517, 12 098, 9 996, 5 894, 14 234, 23 821, 29 040, 34 544
19,   Burundi,,108,B R, Upper-middle-income countries,1502,..,..,..,..,..,..,..
20,   Burundi,,108,B R, Lower-middle-income countries,1501, 12 098, 9 996, 5 894, 14 234, 23 821, 29 040, 34 544
21,   Burundi,,108,B R,  Low-income countries,1500, 260 430, 203 190, 105 315, 161 008, 203 136, 241 022, 277 210
22,   Burundi,,108,B R, AFRICA,903, 272 528, 213 186, 111 209, 175 242, 226 957, 270 062, 311 754
23,   Burundi,,108,B R,  Eastern Africa,910, 235 874, 171 739, 73 258, 76 143, 79 346, 94 294, 112 169
24,   Burundi,,108,B R,  Middle Africa,911, 36 654, 41 447, 37 951, 99 099, 147 611, 175 768, 199 585
25,   Burundi,,108,B R,  Northern Africa,912,..,..,..,..,..,..,..
26,   Burundi,,108,B R,  Southern Africa,913,..,..,..,..,..,..,..
27,   Burundi,,108,B R,  Western Africa,914,..,..,..,..,..,..,..
28,   Burundi,,108,B R, ASIA,935,..,..,..,..,..,..,..
29,   Burundi,,108,B R,  Central Asia,5500,..,..,..,..,..,..,..
30,   Burundi,,108,B R,  Eastern Asia,906,..,..,..,..,..,..,..
31,   Burundi,,108,B R,  South-Eastern Asia,920,..,..,..,..,..,..,..
32,   Burundi,,108,B R,  Southern Asia,5501,..,..,..,..,..,..,..
33,   Burundi,,108,B R,  Western Asia,922,..,..,..,..,..,..,..
34,   Burundi,,108,B R, EUROPE,908,963,931,712,698,745,907, 1 076
35,   Burundi,,108,B R,  Eastern Europe,923,..,..,..,..,..,..,..
36,   Burundi,,108,B R,  Northern Europe,924,..,..,..,..,..,..,..
37,   Burundi,,108,B R,  Southern Europe,925,..,..,..,..,..,..,..
38,   Burundi,,108,B R,  Western Europe,926,963,931,712,698,745,907, 1 076
39,   Burundi,,108,B R, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
40,   Burundi,,108,B R,  Caribbean,915,..,..,..,..,..,..,..
41,   Burundi,,108,B R,  Central America,916,..,..,..,..,..,..,..
42,   Burundi,,108,B R,  South America,931,..,..,..,..,..,..,..
43,   Burundi,,108,B R, NORTHERN AMERICA,905,..,..,..,..,..,..,..
44,   Burundi,,108,B R, OCEANIA ,909,..,..,..,..,..,..,..
45,   Burundi,,108,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
46,   Burundi,,108,B R,  Melanesia,928,..,..,..,..,..,..,..
47,   Burundi,,108,B R,  Micronesia,954,..,..,..,..,..,..,..
48,   Burundi,,108,B R,  Polynesia*,957,..,..,..,..,..,..,..
49,   Burundi,,108,B R,   Belgium,56,642,621,475,466,497,605,718
